VOLUME 1	VARIOUS CP/M UTILITY PROGRAMS
NUMBER	SIZE	NAME		COMMENTS
4.5	1K	AMUSE		ACTOR PROGRAM
4.6	16K	CALENDAR.COM	CALENDAR.FOR AND NUMBER.MAC. CREATES a Calendar
4.7	4K	CALENDAR.FOR	FORTRAN MAIN AND SUB-PROGRAMS
4.8	6K	FDL		ACTOR PROGRAM - CAREFUL IT CLEARS INPUT FILES
4.9	2K	HAIKU		ACTOR PROGRAM
4.10	3K	IOEXAMP		ACTOR PROGRAM
4.15	20K	MAZE.COM	OBJECT OF MAZE.FOR AND RND.FOR CREATES A MAZE 
4.16	5K	MAZE.FOR	SOURCE OF MAZE.COM MAIN
4.17	1K	ML.SUB		SUBMIT.COM COMMAND FILE TO RUN ML80 SOURCE 
4.18	1K	MLCOPY.SUB	SUBMIT.COM FILE TO TRANSFER ML80 GROUP by PIP
4.19	2K	NUMBER.MAC	CALENDAR TITLE GENERATOR 
4.20	1K	RND.FOR		SUB-PROGRAM OF MAZE
4.21	1K	WDIR.COM	OBJECT OF WDIR.M80 (TRY IT!!)
4.22	3K	WDIR.M80	ML80 SOURCE FOR WDIR.COM
4.23	1K	XDIR.COM	OBJECT OF XDIR.M80 (TRY IT!!)
4.24	4K	XDIR.M80	ML80 SOURCE FOR XDIR.COM
4.25	2K	Z-LCTOUC.ACT	ACTOR PROGRAM TO CONVERT STD ACTOR PROGRAMS   

VOLUME 5	BASIC-E COMPILERS AND INTERPRETERS,BASIC-E PROGRAMS, 
		CONTINUED FROM VOLUME 3,MICROSOFT BASIC PROGRAMS

5.1	8K	21.ASC		MICROSOFT BASIC PROGRAM
5.2	12K	BAS2-0.COM	BASIC-E COMPILER
5.3	12K	BAS2-1.COM	CASIC-E COMPILER
5.5	5K	BIO-FF.ASC	MICROSOFT BASIC PROGRAM
5.6	4K	BIORYTH.ASC	MICROSOFT BASIC PROGRAM
5.7	10K	BLKFRI2.ASC	MICROSOFT BASIC PROGRAM
5.9	2K	DECISION.ASC	MICROSOFT BASIC PROGRAM
5.11	6K	EDTEXT.ASC	MICROSOFT BASIC PROGRAM
5.12	2K	FORMAT.ASC	MICROSOFT BASIC PROGRAM
5.14	16K	OTHELLO.BAS	BASIC-E PROGRAM
5.15	5K	OTHELLO.DOC	INSTRUCTIONS FOR OTHELLO.BAS
5.16	2K	RADIX.ASC	MICROSOFT BASIC PROGRAM
5.17	1K	RECOVERY.ASC	MICROSOFT BASIC PROGRAM
5.18	12K	RUN2-2.COM	BASIC-E INTERPRETER
5.19	12K	RUN2-3.COM	BASIC-E INTERPRETER
5.20	12K	RUNK2-0.COM	BASIC-E INTERPRETER
5.21	4K	SLOT.ASC	MICROSOFT BASIC PROGRAM
5.22	2K	SORT.ASC	MICROSOFT BASIC PROGRAM
5.23	7K	STARTREK.ASC	MICROSOFT BASIC PROGRAM
5.24	14K	SUPTRK3.ASC	MICROSOFT BASIC PROGRAM

VOLUME 6	CHICAGO AREA COMPUTER HOBBIEST EXCHANGE SOFTWARE

6.1	6K	BLOAD.ASM	TARBELL TAPE MITS 3.1 BASIC CSAVE TO ASCII
6.2	34K	CCOS1.ASM	CACHE CASETTE OPERATING SYSTEM
6.3	2K	CKSUM.ASM	CHECKSUMS CP/M FILES
6.4	5K	COMPARE.ASM	COMPARES TWO CP/M FILES
6.5	15K	CUTTER.ASM	SEEMS TO BE VDM TO CASETTE PROGRAM
6.6	3K	IDUMP.ASM	INTERPRETED FILE DUMP
6.7	9K	MAINT.BAS	MAILLIST MODULE
6.8	13K	MODEM.ASM	PROGRAM TO SEND/RECEIVE data, REMOTE COMPUTERS 
6.9	3K	PONG.ASM	VDM PONG GAME.... THIS FILE IS FAULTY 
6.10	1K	PREFMT.BAS	MAILLIST MODULE
6.11	3K	PURGE.ASM	DISKETTE DIRECTORY PURGE
6.12	1K	QUICKIE.BAS	MAILLIST MODULE
6.13	8K	REPORT.BAS	MAILLIST MODULE
6.14	6K	SIZE.ASM	GIVES SIZE OF CP/M FILE
6.15	5K	SLOAD.ASM	LOADER MODULE OF CCOS1
6.16	7K	SORT.ASM	MAILLIST MODULE
6.17	4K	TISQ.ASM	TIMES SQUARE (NEWSCASTER) LETTERS TO VDM
6.18	5K	TLOAD.ASM	TARBELL LOADER FOR TSAVED FILES
6.19	2K	TMAP.ASM	MAP OF TAPE WITH TSAVED FILES
6.20	5K	TSAVE.ASM	CP/M FILE TO TARBELL TAPE WITH CHECKSUM
6.21	58K	XREFASM.ASM	CP/M COMPATIBLE ASSEMBLER PRODUCES XREF TABLES.

VOLUME 7	PILOT - PROGRAMMED INQUIRY, LEARNING AND TEACHING

7.1	6K	PILOT		LOADED MDS OBJECT
7.2	66K	PILOT.ASM	PILOT SOURCE
7.3	135K	PILOT.LST	MDS ASSEMBLER LISTING WITH X-REFERENCE TABLES
7.4	6K	PILOT.OBJ	RELOCATABLE MDS OBJECT

VOLUME 8	VARIOUS CP/M UTILITY PROGRAMS

8.1	1K	ALLOC.COM	GRAPHIC DISPLAY OF DISK USAGE 
8.2	6K	BANNER.ASM	PUTS LARGE LETTERS TO LST: OR PUN:
8.3	7K	BINLOAD1.ASM	PROGRAM TO READ DISK DATA 
8.4	2K	BIOSGO.LIB	PRETTY VERSION OF #1.14.  
8.5	2K	BPNF.ASM	PROGRAM TO PUNCH BPNF PROM TAPE FROM MEMORY
8.6	2K	BSPAT16B.ASM	PATCH TO PERMIT <BS> IE. (CTL H) TO ECHO 
8.7	4K	BYTEMOV.ASM	BYTESAVER PROM BURNING PROGRAM
8.8	2K	DDTPATCH.ASM	PATCH TO CORRECT ASSEMBLER ERRORS IN DDT.  
8.9	9K	DISKDUP.ASM	THIS IS ANOTHER DISK COPYING PROGRAM.  
8.10	2K	DISKIN.LIB	ROUTINE TO READ SINGLE CHARS FROM DISK FILES
8.11	7K	DISKTES1.ASM	VERSION OF #1.9 FOR GENERALITY OF SYSTEM SIZES
8.12	1K	DIVIDE1.LIB	ROUTINE TO DIVIDE 2 BYTE QUANTITY BY ONE BYTE
8.13	17K	DSKDIR.ASM	SENDS TO CONSOLE DIR DETAILS
8.14	8K	FMAP.ASM	SENDS TO CONSOLE DISK DETAILS
8.15	4K	FORMAT1.ASM	DISKETTE FORMAT FOR TARBELL CONTROLLER SSSD
8.16	2K	GO.ASM		SAY "GO FF00" AND AS IF BY MAGIC...
8.17	2K	INNUM1.LIB	VARIABLE RADIX NUMBER INPUT ROUTINE
8.18	9K	MAC4.ASM	PATCHES TO PUT TDL MACRO ASSEMBLER UP 
8.19	3K	MAKEFCB.LIB	ROUTINE TO CREATE FCB'S
8.20	1K	MPY8.LIB	TWO BYTE BY ONE BYTE MULTIPLY
8.21	2K	OUTNUM1.LIB	OUTPUT A TWO BYTE NUMBER IN ANY CHOSEN RADIX
8.22	2K	PBURN.ASM	BYTESAVER PROM BURNER.  
8.23	10K	PRINT2.ASM	REVISION OF #1.24 TO INCLUDE DIABLO DRIVER
8.24	1K	RECSEC.LIB	ROUTINE TO TRANSLATE CP/M RECORD (GROUP-CLUSTER)
8.25	4K	SYMPRT.ASM	PROGRAM TO PRINT BASIC-E SYMBOL TABLE 
8.26	2K	WYLECON2.LIB	ROUTINE TO TRANSLATE WYLE KEYBOARD OUTPUT
8.27	20K	XREF.ASM	PROGRAM TO CREATE FULL INTEL CROSS-REFERENCE TABLE 
8.28	6K	XSTAT2.ASM	SOURCE OF #1.34 PLUS SOME GUESSED SUBROUTINES.

VOLUME 9	GENERAL LEDGER PROGRAM BY BUD SHAMBURGER

VOLUME 10 	LAWRENCE LIVERMORE BASIC With CP/M WITH DISK Drivers

10.1	85K	LLLBASIC.ASM	SEE LLLBASIC.DOC
10.2	7K	LLLBASIC.COM	TOTAL ASSEMBLED PACKAGE
10.3	61K	LLLFP.ASM	SEE LLLBASIC.DOC
10.4	5K	LLLMON.ASM	SEE LLLBASIC.DOC
10.5	1K	TEST.FIL	TEST PROGRAM.  TO RUN TYPE "LLLBASIC TEST.FIL" 

VOLUME 11	DISK TINIBASIC AND DISK PROCESSOR TECHNOLOGY BASIC/5

11.1	76K	BASIC/5.ASM	PRO TECH 5K DISKIFIED BASIC
11.2	8K	BASIC/5.COM	5K BASIC IN 8K (SIGN OF THE TIMES)
11.3	7K	BASIC/5.DOC	CP/M VERSION AND OTHER MAJOR EXTENSIONS 
11.4	6K	STARTREK.TBI	WAS ALSO #2.7 SEE VOLUME11.DOC
11.5	1K	TINICOPY.SUB	SOMEONE USES THE SUBMIT PROGRAM??
11.6	62K	TINIDISK.ASM	SOURCE OF TINIDISK
11.7	3K	TINIDISK.COM	WAS ALSO #2.8
11.8	13K	TINIDISK.DOC	WAS ALSO #2.9

VOLUME 12	PILOT INTERPRETERS PATCHED FOR CP/M

12.1	1K	GOLDI.PLT	SOURCE PROGRAM FOR ZPILOT
12.2	2K	HIPILOT.PLT	SOURCE PROGRAM FOR ZPILOT
12.3	67K	PILOT.ASM	PATCHED VERSION OF #7.2 SEE PILOT.DOC
12.4	5K	PILOT.COM	SEE PILOT.DOC
12.5	2K	PILOT.DOC	DESCRIPTION OF CP/M IMPLEMENTATION OF PILOT
12.6	1K	PILOT.TST	SOURCE FOR PILOT. TYPE "PILOT PILOT.TST" TO RUN
12.7	5K	PMON.ASM	CP/M INTERFACE USED IN PILOT.COM
12.8	1K	WIERD		WIERD.PLT RE-CODED FOR THE PILOT.COM
12.9	1K	WIERD.PLT	SOURCE PROGRAM FOR ZPILOT
12.10	1K	ZPILOT.COM	OBJECT OF ZPILOT.Z80
12.11	7K	ZPILOT.Z80	ZILOG MNEMONIC SOURCE OF A PILOT INTERPRETER.  

VOLUME 13	BASIC-E/CBASIC AND MICROSOFT BASIC PROGRAMS

13.1	7K	15/PUZ.ASC	PROGRAM IN MICROSOFT BASIC
13.2	7K	1500.ASC	PROGRAM IN MICROSOFT BASIC
13.3	2K	23MATCH.BAS	PROGRAM IN BASIC-E/CBASIC
13.4	3K	BAGELS.BAS	PROGRAM IN BASIC-E/CBASIC
13.5	4K	BIORYME.ASC	PROGRAM IN MICROSOFT BASIC
13.6	6K	BLACKJAC.BAS	PROGRAM IN BASIC-E/CBASIC
13.7	1K	BULLSEYE.BAS	PROGRAM IN BASIC-E/CBASIC
13.8	6K	CHECKERS.BAS	PROGRAM IN BASIC-E/CBASIC
13.9	2K	CHIEF.BAS	PROGRAM IN BASIC-E/CBASIC
13.10	2K	CONVERT.BAS	PROGRAM IN BASIC-E/CBASIC
13.11	7K	DICE.BAS	PROGRAM IN BASIC-E/CBASIC
13.12	7K	KINGDOM.BAS	PROGRAM IN BASIC-E/CBASIC
13.14	15K	NFL.BAS		PROGRAM IN BASIC-E/CBASIC
13.15	4K	ROCKET.BAS	PROGRAM IN BASIC-E/CBASIC
13.16	1K	RUSSIAN.BAS	PROGRAM IN BASIC-E/CBASIC
13.17	16K	SWARMS.BAS	PROGRAM IN BASIC-E/CBASIC
13.18	16K	SWARMS2.ASC	PROGRAM IN MICROSOFT BASIC
13.19	2K	TRAP.BAS	PROGRAM IN BASIC-E/CBASIC
13.20	6K	WUMPAS.BAS	PROGRAM IN BASIC-E/CBASIC
13.21	23K	ZOSO.2		

VOLUME 14	VARIOUS CP/M UTILITIES

14.1	5K	ARTICLE		TEXT FOR SECTEST BELOW 
14.2	6K	BCD-DRVR	DRIVER TO CONVERT ASCII TO IBM2740 BCD
14.3	5K	DLDHI.ASM	HIGH PORTION OF DLOAD - SEE DOC
14.4	5K	DLOAD.ASM	PATCHES TO PUT MITS 3.2 8K BASIC UP ON CP/M
14.5	4K	DLOAD.DOC	IMPLEMENTATION NOTES FOR DLOAD 
14.6	3K	DUMP.COM	RUNNING VERSION OF DUMP BELOW           
14.7	23K	DUMP.MAC	FANTASTIC DISK VIEWER PROGRAM. 
14.8	5K	LIST32.ASM	PROGRAM TO RECOVER ASCII FILE 
14.9	2K	MOVE.ASM	TRANSFER FILES WITHOUT THE PROBLEM OF CRL Zs
14.10	3K	PUT.ASM		USED TO LOAD A FILE AT ANY MEMORY ADDRESS 
14.11	10K	REL1.ASM	INSTRUCTIVE RE-CONSTRUCTION OF RELOC/CPM PROGRAM
14.12	9K	REL256.COM	RELOC FOR INTEGER K-100H SYSTEM
14.13	9K	REL512.COM	RELOC FOR INTEGER K-200H SYSTEM
14.14	9K	REL768.COM	RELOC FOR INTEGER K-300H SYSTEM
14.15	3K	RELHOW.DOC	IMPLEMENTATION NOTES FOR RELOCATING CP/M VERS 1.3
14.16	10K	SECTEST.BAS	CBASIC PROGRAM FOR TESTING CONTEXT COMPREHENSION
14.17	1K	SECTEST.DOC	BOB TELLS HOW TO USE IT
14.18	7K	SEDY.ASM	DISK PEEKING PROGRAM.
14.19	2K	SEDY.COM	COMPILATION, AS 14.18 WRITTEN FOR TDL ASSEMBLER

VOLUME 15	UTILITIES AND NON-BASIC GAMES

15.1	2K	ALLOC.ASM	SOURCE OF 8.1 WITH IMPROVEMENTS 
15.2	2K	BEASTIE.ASM	SOL VDM GAME FROM DR. DOBBS
15.3	8K	CHASE.ASM	SOL VDM GAME FROM DR. DOBBS
15.4	6K	DUMP.ASM	KERNL UTILITY. SEE 15.7
15.5	3K	INIT.ASM	KERNL INITIATION ROUTINE. SEE 15.7
15.6	3K	INIT2.ASM	KERNL INITIATION ROUTINE. SEE 15.7
15.7	57K	KERNL.ASM	KERNEL REAL-TIME INTERACTIVE SYSTEM        
15.8	8K	MDGCBIOS.ASM	BIOS WRITTEN IN TDL ASSEMBLER FOR TARBELL CTLR
15.9	2K	MDGSBOOT.ASM	BOOT FOR 15.5
15.10	25K	OTHELLO.COM	RUNNING OBJECT FROM 15.11
15.11	12K	OTHELLO.FOR	FORTRAN SOURCE OF BOARD GAME
15.12	16K	PRINT3.ASM	FURTHER RE-WRITE OF 8.23
15.21	4K	ROMP.ASM	TARBELL TAPE LOADER AND SAVER
15.22	46K	SOLOS.ASM	SOL OPERATING SYSTEM PUBLISHED IN ACCESS.  
15.23	2K	TARGET.ASM	SOL VDM GAME BY GEORGE W. ROMPOT 
15.24	6K	TLOAD.ASM	RE-WRITE OF 6.18 WITH DOCUMENTED ENHANCEMENTS
15.25	5K	TSAVE.ASM	RE-WRITE OF 6.20 WITH DOCUMENTED ENHANCEMENTS

VOLUME 16 	ASSEMBLERS, OTHER UTILITIES AND FOCAL

16.1	9K	ASMX.COM	ASSEMBLER WHICH RECOGNIZES Z-80 OPS SEE VOL.DOC
16.2	12K	COPYDSK.ASM	DISK COPY PROGRAM. SEE VOL.DOC
16.3	13K	COPYDSK.MAC	AS 16.2 FOR TDL ASSEMBLER
16.4	7K	CPMUTIL.ASM	CP/M SUBROUTINES 
16.5	3K	EDIT.COM	INTEL-LIKE EDITOR. 
16.6	8K	EDUCATOR.ASM	8080 INSTRUCTION SET TUTOR FROM BYTE JULY 1976
16.7	57K	FOCAL.ASM	FOCAL LANGUAGE INTERPRETER. SEE VOL.DOC
16.8	8K	MACASM.COM	MACRO ASSEMBLER. SEE VOL.DOC
16.9	2K	MOVDOWN.ASM	PROGRAM TO LOAD FILE WHICH OPERATES BELOW 100H
16.10	2K	SEEK.ASM	SET DISK TRACK BY FRONT PANEL DURING ALIGNMENT
16.11	9K	SPAT1.ASM	RE-WRITE OF 1.29 
16.12	2K	TASMIO.DOC	DOC FOR TASMIO PATCH 
16.13	3K	TASMIO.HEX	SEE TASMIO.DOC
16.14	18K	TASMIO.MAC	SEE TASMIO.DOC
16.15	3K	TEST1A.ASM	SUCCESSFUL TEST FOR Z80ASM 16.17
16.16	1K	TEST2.ASM	UNSUCCESSFUL TEST FOR Z80ASM 16.17
16.17	9K	Z80ASM.COM	ZILOG MNEMONIC ASSEMBLER. 
16.18	4K	Z80DOC.DOC	DOC FOR 16.17

VOLUME 17	UTILITIES, DENVER TINY BASIC AND NON-BASIC GAMES

17.1	13K	3DTICTAC.ASM	GAME NOT YET PATCHED TO CP/M
17.2	50K	CROROS.ASM	CROMEMCO RESIDENT OPERATING SYSTEM SEE VOL.DOC
17.3	16K	DENVBAS.ASM	DENVER TINY BASIC FROM DR. DOBBS NO CP/M I/O 
17.4	6K	DISASM.COM	REVISION OF INTEL DISASSEMBLER SEE VOL.DOC
17.5	6K	DISPLAY.ASM	PART OF SPACE GAME. SEE VOL.DOC
17.6	6K	FUNCTION.ASM	PART OF SPACE GAME. SEE VOL.DOC
17.7	14K	MINOL.ASM	CORRECTED VERSION OF A TINY BASIC FROM DR DOBBS
17.8	2K	NUMS.ASM	PART OF SPACE GAME. SEE VOL.DOC
17.9	25K	PROCCALC.ASM	PRO TECH DESK CALCULATOR PACKAGE. SEE VOL.DOC
17.10	19K	SPACE.ASM	PART OF SPACE GAME. SEE VOL.DOC
17.11	7K	Z80-OPS.ASM	Z-80 MNEMONICS RECOGNIZED BY ASMX 16.1

VOLUME 18	MATHS ROUTINES, MONITORS AND CASUAL

18.1	40K	CASUAL.ASM	CASUAL LANGUAGE FROM DR. DOBBS 1:10 DEC 1976, 
18.2	39K	FLTARITH.ASM	SEC 1 OF INTEL 8008 MATHS ROUTINES RE-WRITTEN 
18.3	18K	FPCONV.ASM	SECTION 2 OF INTEL 8008 MATHS ROUTINES
18.4	39K	MATH.ASM	YALE MATHS ROUTINES
18.5	2K	MATH.DOC	COMMENTS ON MATH.ASM 18.4
18.6	24K	MILMON80.ASM	STAND-ALONE MONITOR EDITOR ASSEMBLER 
18.7	46K	PROCSELF.ASM	SOFTWARE PACKAGE #1. NO CP/M I/O YET

VOLUME 19	VARIOUS UTILITIES

19.1	17K	ADE.ASM		ABSOLUTE DISK EDITOR. SEE VOL.DOC
19.2	6K	COPY.ASM	DISK COPY PROGRAM. SEE VOL.DOC
19.3	9K	CPM.DOC		IMSAI'S DESCRIPTION OF CP/M
19.4	21K	LINK.ASM	REMOTE COMPUTER CONTROL VIA D C HAYES MODEM
19.5	17K	LINK73.ASM	EARLIER VERSION OF 19.4 FOR STANDARD MODEM
19.6	60K	RM80.ASM	RESIDENT PROM MONITOR. 
19.7	8K	RM80.DOC	COMMENTS ON RM80 19.6
19.8	4K	SAP.ASM		SORTS AND PACKS DIRECTORY. SEE XFER 19.12
19.9	8K	SCOPY.ASM	DISKETTE COPY PROGRAM FOR SINGLE DISK SYSTEM
19.10	16K	TREAD.ASM	RM80 TAPE BACKUP UTILITY WITH 19.11
19.11	10K	TSAVE.ASM	RM80 TAPE SAVE UTILITY WITH 19.10
19.12	9K	XFER.ASM	FILE COPY PROGRAM FOR SINGLE DISK SYSTEM

VOLUME 20	BASIC-E / CBASIC PROGRAMS, PICTURES

20.1	8K	BLACKJAC.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.2	8K	CIVILW.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.3	9K	FOOTBALL.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.4	7K	GOLF.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.5	3K	GUNNER.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.6	7K	LUNAR1.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.7	9K	PINUP.PIC	PICTURE
20.8	18K	PINUP1.PIC	PICTURE
20.9	9K	POKER.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.10	4K	SNOOPY.PIC	PICTURE
20.11	27K	STARTREK.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.12	57K	STMASTER.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.13	1K	STMASTER.DOC	SEE ZOSO.20
20.14	33K	STRTRK/1.BAS	PROG IN BASIC-E/CBASIC. SEE ZOSO.20
20.15	7K	TREKINST	SEE ZOSO.20
20.16	7K	TWEETY.PIC	PICTURE

VOLUME 21	MICROSOFT BASIC PROGRAMS

21.1	3K	ACYDUCY.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.2	3K	APOLLO.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.3	3K	BANNER.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.4	4K	BIO.ASC		PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.5	10K	BLKFRI3.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.6	6K	BLKJK.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.7	3K	CHASE.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.8	12K	CHESS.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.9	1K	DIAMONDS.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.10	4K	ENTE.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.11	6	ENTEP.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
